Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	59.003921
1	Clockticks	2490000000
2	Performance-core (P-core)	1182000000
1	Instructions Retired	531531000000
2	Performance-core (P-core)	529485000000
1	CPI Rate	0.004685
2	Performance-core (P-core)	0.002232
1	Performance-core (P-core)	
2	Retiring	48.8
3	Light Operations	45.8
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	21.8
4	Fused Instructions	5.0
4	Non Fused Branches	4.5
4	Other	14.6
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	2.9
4	Few Uops Instructions	2.1
4	Microcode Sequencer	0.8
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.8
2	Front-End Bound	32.7
3	Front-End Latency	18.0
4	ICache Misses	2.0
5	Code L2 Hit	1.8
5	Code L2 Miss	0.2
4	ITLB Misses	0.1
5	Code STLB Hit	0.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	4.2
5	Mispredicts Resteers	4.9
5	Clears Resteers	0.0
5	Unknown Branches	0.0
4	MS Switches	2.1
4	Length Changing Prefixes	0.0
4	DSB Switches	4.0
3	Front-End Bandwidth	14.7
4	Front-End Bandwidth MITE	4.1
5	Decoder-0 Alone	0.2
4	Front-End Bandwidth DSB	10.5
4	Front-End Bandwidth LSD	0.0
4	MS	1.0
4	(Info) DSB Coverage	62.9
4	(Info) LSD Coverage	1.4
4	(Info) DSB Misses	9.7
2	Bad Speculation	11.9
3	Branch Mispredict	14.0
4	Other Mispredicts	2.4
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	6.7
3	Memory Bound	1.8
4	L1 Bound	1.5
5	DTLB Overhead	5.2
6	Load STLB Hit	4.6
6	Load STLB Miss	0.6
7	Load STLB Miss 4K	0.6
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.1
5	L1 Latency Dependency	27.6
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.6
5	L2 Hit Latency	1.4
4	L3 Bound	3.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.1
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	1.1
5	Memory Latency	3.5
4	Store Bound	0.1
5	Store Latency	0.2
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	8.6
6	Store STLB Hit	8.4
6	Store STLB Miss	0.2
7	Store STLB Miss 4K	0.2
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	4.8
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	1.9
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	11.7
5	Cycles of 0 Ports Utilized	0.1
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	5.0
5	Cycles of 2 Ports Utilized	6.2
5	Cycles of 3+ Ports Utilized	52.4
6	ALU Operation Utilization	28.5
7	Port 0	30.0
7	Port 1	24.2
7	Port 6	46.9
6	Load Operation Utilization	37.8
6	Store Operation Utilization	28.7
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	34.5
3	Arith Ops	21.9
4	Non Divider	21.9
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	12.6
4	Loads	8.3
4	Stores	4.4
2	Front-End Bound	36.0
3	IFetch Latency	15.8
4	ICache Misses	7.8
4	ITLB Misses	2.7
4	BACLEARS	5.1
4	Branch Resteers	0.5
3	IFetch Bandwidth	20.2
4	Cisc	5.2
4	Decode	7.8
4	Pre-Decode Wrong	0.5
4	Front-End Other	4.4
2	Bad Speculation	7.6
3	Branch Mispredict	25.4
3	Machine Clears	0.0
4	Ucode_Assist	0.0
