Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	62.974409
1	Clockticks	6129000000
2	Performance-core (P-core)	5289000000
1	Instructions Retired	701805000000
2	Performance-core (P-core)	700386000000
1	CPI Rate	0.008733
2	Performance-core (P-core)	0.007552
1	Performance-core (P-core)	
2	Retiring	61.9
3	Light Operations	58.0
4	FP Arithmetic	13.8
5	FP x87	0.0
5	FP Scalar	13.8
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	30.5
4	Fused Instructions	4.0
4	Non Fused Branches	6.5
4	Other	3.2
5	Nop Instructions	0.2
5	Shuffles_256b	0.0
3	Heavy Operations	4.0
4	Few Uops Instructions	3.9
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	13.4
3	Front-End Latency	5.2
4	ICache Misses	1.3
5	Code L2 Hit	1.3
5	Code L2 Miss	0.0
4	ITLB Misses	0.1
5	Code STLB Hit	0.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	1.7
5	Mispredicts Resteers	0.9
5	Clears Resteers	0.9
5	Unknown Branches	0.0
4	MS Switches	0.4
4	Length Changing Prefixes	0.0
4	DSB Switches	6.8
3	Front-End Bandwidth	8.1
4	Front-End Bandwidth MITE	3.4
5	Decoder-0 Alone	0.4
4	Front-End Bandwidth DSB	9.8
4	Front-End Bandwidth LSD	0.0
4	MS	0.1
4	(Info) DSB Coverage	59.1
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	5.5
2	Bad Speculation	15.9
3	Branch Mispredict	7.9
4	Other Mispredicts	1.3
3	Machine Clears	8.0
4	Other Nukes	0.0
2	Back-End Bound	8.8
3	Memory Bound	2.2
4	L1 Bound	5.8
5	DTLB Overhead	18.5
6	Load STLB Hit	18.2
6	Load STLB Miss	0.2
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	1.8
5	L1 Latency Dependency	56.0
5	Lock Latency	0.0
5	Split Loads	0.1
5	FB Full	0.0
4	L2 Bound	1.7
5	L2 Hit Latency	32.4
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	2.0
4	Store Bound	0.4
5	Store Latency	1.0
5	False Sharing	0.0
5	Split Stores	0.2
5	Streaming Stores	0.0
5	DTLB Store Overhead	9.1
6	Store STLB Hit	9.1
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	6.6
4	Divider	7.0
5	FP Divider	4.4
5	INT Divider	2.6
4	Serializing Operations	0.4
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	19.7
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	6.7
5	Cycles of 2 Ports Utilized	9.1
5	Cycles of 3+ Ports Utilized	76.5
6	ALU Operation Utilization	32.9
7	Port 0	37.9
7	Port 1	28.3
7	Port 6	51.8
6	Load Operation Utilization	51.4
6	Store Operation Utilization	34.1
5	Vector Capacity Usage (FPU)	12.4
1	Efficient-core (E-core)	
2	Retiring	43.5
3	Arith Ops	32.0
4	Non Divider	32.0
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	11.6
4	Loads	7.6
4	Stores	4.4
2	Front-End Bound	31.1
3	IFetch Latency	13.8
4	ICache Misses	6.1
4	ITLB Misses	1.8
4	BACLEARS	4.0
4	Branch Resteers	0.4
3	IFetch Bandwidth	17.3
4	Cisc	4.9
4	Decode	8.6
4	Pre-Decode Wrong	0.1
4	Front-End Other	3.2
2	Bad Speculation	0.0
3	Branch Mispredict	15.4
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.1
2	Back-End Bound	29.8
