Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	62.999460
1	Clockticks	1011000000
2	Performance-core (P-core)	633000000
1	Instructions Retired	528648000000
2	Performance-core (P-core)	527106000000
1	CPI Rate	0.001912
2	Performance-core (P-core)	0.001201
1	Performance-core (P-core)	
2	Retiring	44.8
3	Light Operations	39.1
4	FP Arithmetic	2.8
5	FP x87	2.8
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	18.4
4	Fused Instructions	3.0
4	Non Fused Branches	3.0
4	Other	11.9
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	5.7
4	Few Uops Instructions	5.1
4	Microcode Sequencer	0.6
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.6
2	Front-End Bound	43.9
3	Front-End Latency	24.2
4	ICache Misses	2.5
5	Code L2 Hit	2.5
5	Code L2 Miss	0.0
4	ITLB Misses	0.4
5	Code STLB Hit	0.4
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	4.7
5	Mispredicts Resteers	12.0
5	Clears Resteers	0.0
5	Unknown Branches	0.0
4	MS Switches	1.3
4	Length Changing Prefixes	0.1
4	DSB Switches	5.3
3	Front-End Bandwidth	19.7
4	Front-End Bandwidth MITE	9.2
5	Decoder-0 Alone	1.8
4	Front-End Bandwidth DSB	7.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.7
4	(Info) DSB Coverage	61.0
4	(Info) LSD Coverage	0.1
4	(Info) DSB Misses	19.7
2	Bad Speculation	4.3
3	Branch Mispredict	10.9
4	Other Mispredicts	5.3
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	7.1
3	Memory Bound	1.9
4	L1 Bound	1.8
5	DTLB Overhead	5.5
6	Load STLB Hit	5.1
6	Load STLB Miss	0.4
7	Load STLB Miss 4K	0.4
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	1.2
5	L1 Latency Dependency	17.5
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.1
5	L2 Hit Latency	5.2
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	7.9
4	Store Bound	1.1
5	Store Latency	0.1
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	8.6
6	Store STLB Hit	8.4
6	Store STLB Miss	0.2
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	5.2
4	Divider	2.3
5	FP Divider	1.5
5	INT Divider	0.9
4	Serializing Operations	2.8
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	9.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	3.9
5	Cycles of 2 Ports Utilized	5.4
5	Cycles of 3+ Ports Utilized	45.0
6	ALU Operation Utilization	24.0
7	Port 0	31.1
7	Port 1	13.4
7	Port 6	37.4
6	Load Operation Utilization	32.4
6	Store Operation Utilization	24.4
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	55.0
3	Arith Ops	36.1
4	Non Divider	36.1
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	18.9
4	Loads	12.8
4	Stores	6.8
2	Front-End Bound	39.5
3	IFetch Latency	19.8
4	ICache Misses	9.0
4	ITLB Misses	2.1
4	BACLEARS	6.8
4	Branch Resteers	0.4
3	IFetch Bandwidth	19.7
4	Cisc	8.9
4	Decode	13.5
4	Pre-Decode Wrong	0.3
4	Front-End Other	3.6
2	Bad Speculation	0.0
3	Branch Mispredict	31.7
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.6
2	Back-End Bound	25.8
3	Memory Subsystem Bound	8.3
4	L2 Bound	6.7
4	L2 Miss	2.0
5	L3 Bound	1.6
5	Memory Bound	0.5
3	Core Bound	17.5
4	Serializing Operations	14.0
5	Pause	3.4
5	TPause	0.0
4	L1 Bound	0.7
4	RB Bound	0.0
4	Store Bound	1.0
4	Execution Bound	0.0
4	Allocation Bound	1.8
5	Allocation Restriction	1.8
2	Info Metrics	
3	Stores Bound	0.009809
3	Load Bound	0.089684
1	Average CPU Frequency	1042750325.143595
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.0% (0.011 out of 24)
1	Effective Logical Core Utilization	0.0% (0.015 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	86947561
