Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	59.775384
1	Clockticks	3279000000
2	Performance-core (P-core)	2352000000
1	Instructions Retired	431571000000
2	Performance-core (P-core)	429993000000
1	CPI Rate	0.007598
2	Performance-core (P-core)	0.005470
1	Performance-core (P-core)	
2	Retiring	43.1
3	Light Operations	37.4
4	FP Arithmetic	4.2
5	FP x87	4.2
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	19.0
4	Fused Instructions	2.6
4	Non Fused Branches	1.4
4	Other	10.3
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	5.7
4	Few Uops Instructions	2.7
4	Microcode Sequencer	3.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	3.0
2	Front-End Bound	25.4
3	Front-End Latency	13.8
4	ICache Misses	0.7
5	Code L2 Hit	0.6
5	Code L2 Miss	0.1
4	ITLB Misses	0.2
5	Code STLB Hit	0.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	3.7
5	Mispredicts Resteers	2.0
5	Clears Resteers	1.7
5	Unknown Branches	0.0
4	MS Switches	13.5
4	Length Changing Prefixes	0.0
4	DSB Switches	3.9
3	Front-End Bandwidth	11.7
4	Front-End Bandwidth MITE	6.0
5	Decoder-0 Alone	0.8
4	Front-End Bandwidth DSB	4.2
4	Front-End Bandwidth LSD	0.3
4	MS	4.7
4	(Info) DSB Coverage	38.9
4	(Info) LSD Coverage	3.6
4	(Info) DSB Misses	7.1
2	Bad Speculation	12.2
3	Branch Mispredict	6.5
4	Other Mispredicts	5.1
3	Machine Clears	5.7
4	Other Nukes	4.6
2	Back-End Bound	19.3
3	Memory Bound	2.1
4	L1 Bound	3.9
5	DTLB Overhead	1.3
6	Load STLB Hit	1.1
6	Load STLB Miss	0.2
7	Load STLB Miss 4K	0.2
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	2.5
5	L1 Latency Dependency	35.5
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.1
4	L2 Bound	0.2
5	L2 Hit Latency	2.0
4	L3 Bound	0.1
5	Contested Accesses	0.0
5	Data Sharing	0.0
