Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	60.831711
1	Clockticks	8877000000
2	Performance-core (P-core)	7812000000
1	Instructions Retired	486864000000
2	Performance-core (P-core)	485097000000
1	CPI Rate	0.018233
2	Performance-core (P-core)	0.016104
1	Performance-core (P-core)	
2	Retiring	55.2
3	Light Operations	46.6
4	FP Arithmetic	8.6
5	FP x87	8.6
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	19.0
4	Fused Instructions	2.7
4	Non Fused Branches	1.1
4	Other	15.0
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	8.6
4	Few Uops Instructions	6.4
4	Microcode Sequencer	2.2
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	2.2
2	Front-End Bound	23.8
3	Front-End Latency	10.2
4	ICache Misses	0.2
5	Code L2 Hit	0.0
5	Code L2 Miss	0.2
4	ITLB Misses	0.1
5	Code STLB Hit	0.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	1.2
5	Mispredicts Resteers	0.7
5	Clears Resteers	0.5
5	Unknown Branches	0.0
4	MS Switches	9.9
4	Length Changing Prefixes	0.0
4	DSB Switches	2.1
3	Front-End Bandwidth	13.5
4	Front-End Bandwidth MITE	2.6
5	Decoder-0 Alone	1.2
4	Front-End Bandwidth DSB	2.9
4	Front-End Bandwidth LSD	1.0
4	MS	3.0
4	(Info) DSB Coverage	31.6
4	(Info) LSD Coverage	14.3
4	(Info) DSB Misses	5.2
2	Bad Speculation	7.7
3	Branch Mispredict	4.3
4	Other Mispredicts	2.5
3	Machine Clears	3.4
4	Other Nukes	2.8
2	Back-End Bound	13.4
3	Memory Bound	2.9
4	L1 Bound	4.4
5	DTLB Overhead	0.8
6	Load STLB Hit	0.7
6	Load STLB Miss	0.1
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.2
5	L1 Latency Dependency	38.1
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.4
4	L2 Bound	0.2
5	L2 Hit Latency	1.6
4	L3 Bound	0.2
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.1
5	SQ Full	0.1
4	DRAM Bound	0.4
5	Memory Bandwidth	4.9
5	Memory Latency	7.6
4	Store Bound	1.1
5	Store Latency	1.8
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	1.6
6	Store STLB Hit	1.3
6	Store STLB Miss	0.3
7	Store STLB Miss 4K	0.3
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	10.4
4	Divider	13.4
5	FP Divider	6.9
5	INT Divider	6.5
4	Serializing Operations	3.9
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	25.9
5	Cycles of 0 Ports Utilized	0.5
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	11.7
5	Cycles of 2 Ports Utilized	13.0
5	Cycles of 3+ Ports Utilized	62.5
6	ALU Operation Utilization	35.3
7	Port 0	51.8
7	Port 1	21.2
7	Port 6	35.7
6	Load Operation Utilization	36.6
6	Store Operation Utilization	18.4
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	35.4
3	Arith Ops	19.1
4	Non Divider	19.1
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	16.4
4	Loads	12.3
4	Stores	6.9
2	Front-End Bound	25.4
3	IFetch Latency	11.1
4	ICache Misses	6.6
4	ITLB Misses	1.7
4	BACLEARS	3.6
4	Branch Resteers	0.4
3	IFetch Bandwidth	14.3
4	Cisc	2.7
4	Decode	7.3
4	Pre-Decode Wrong	0.2
4	Front-End Other	3.1
2	Bad Speculation	17.1
3	Branch Mispredict	27.0
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.1
2	Back-End Bound	22.1
3	Memory Subsystem Bound	12.9
4	L2 Bound	9.1
4	L2 Miss	2.5
5	L3 Bound	1.1
5	Memory Bound	1.5
3	Core Bound	9.2
4	Serializing Operations	5.9
5	Pause	2.3
5	TPause	0.0
4	L1 Bound	1.0
4	RB Bound	0.0
4	Store Bound	1.7
4	Execution Bound	0.0
4	Allocation Bound	0.7
5	Allocation Restriction	0.7
2	Info Metrics	
3	Stores Bound	0.026585
3	Load Bound	0.144339
1	Average CPU Frequency	1032238068.289308
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.5% (0.121 out of 24)
1	Effective Logical Core Utilization	0.4% (0.141 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	90331730
1	Collection start time	07:52:51 12/06/2026 UTC
1	Collection stop time	07:53:52 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199748
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
