Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	47.696614
1	Clockticks	21855000000
2	Performance-core (P-core)	20304000000
1	Instructions Retired	574386000000
2	Performance-core (P-core)	572079000000
1	CPI Rate	0.038049
2	Performance-core (P-core)	0.035492
1	Performance-core (P-core)	
2	Retiring	69.6
3	Light Operations	69.2
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	20.9
4	Fused Instructions	2.7
4	Non Fused Branches	0.5
4	Other	45.1
5	Nop Instructions	0.2
5	Shuffles_256b	0.0
3	Heavy Operations	0.4
4	Few Uops Instructions	0.3
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	12.9
3	Front-End Latency	4.1
4	ICache Misses	5.5
5	Code L2 Hit	3.3
5	Code L2 Miss	2.1
4	ITLB Misses	0.4
5	Code STLB Hit	0.4
5	Code STLB Miss	0.1
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	17.4
5	Mispredicts Resteers	10.0
5	Clears Resteers	7.0
5	Unknown Branches	0.4
4	MS Switches	1.6
4	Length Changing Prefixes	0.1
4	DSB Switches	44.5
3	Front-End Bandwidth	8.8
4	Front-End Bandwidth MITE	9.6
5	Decoder-0 Alone	0.2
4	Front-End Bandwidth DSB	2.3
4	Front-End Bandwidth LSD	0.0
4	MS	0.1
4	(Info) DSB Coverage	25.8
4	(Info) LSD Coverage	2.1
4	(Info) DSB Misses	9.8
2	Bad Speculation	12.9
3	Branch Mispredict	7.6
4	Other Mispredicts	0.0
3	Machine Clears	5.3
4	Other Nukes	0.0
2	Back-End Bound	4.6
3	Memory Bound	0.9
4	L1 Bound	23.5
5	DTLB Overhead	43.9
6	Load STLB Hit	43.3
6	Load STLB Miss	0.6
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	1.1
5	L1 Latency Dependency	100.0
5	Lock Latency	0.0
5	Split Loads	0.1
5	FB Full	1.1
4	L2 Bound	2.0
5	L2 Hit Latency	100.0
4	L3 Bound	1.7
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	5.7
5	SQ Full	0.3
4	DRAM Bound	2.2
5	Memory Bandwidth	7.8
5	Memory Latency	13.6
4	Store Bound	1.1
5	Store Latency	7.1
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	1.3
6	Store STLB Hit	1.3
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	3.7
4	Divider	0.2
5	FP Divider	0.0
5	INT Divider	0.2
4	Serializing Operations	3.2
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	100.0
5	Cycles of 0 Ports Utilized	2.7
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	30.3
5	Cycles of 2 Ports Utilized	58.6
5	Cycles of 3+ Ports Utilized	100.0
6	ALU Operation Utilization	52.1
7	Port 0	53.0
7	Port 1	50.3
7	Port 6	61.7
6	Load Operation Utilization	35.6
6	Store Operation Utilization	13.3
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	44.4
3	Arith Ops	31.8
4	Non Divider	31.8
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	12.6
4	Loads	8.3
4	Stores	5.3
2	Front-End Bound	25.0
3	IFetch Latency	8.8
4	ICache Misses	3.9
4	ITLB Misses	2.6
4	BACLEARS	2.7
4	Branch Resteers	0.2
3	IFetch Bandwidth	16.2
4	Cisc	5.8
4	Decode	6.7
4	Pre-Decode Wrong	0.3
4	Front-End Other	2.6
2	Bad Speculation	0.0
3	Branch Mispredict	17.2
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	37.4
3	Memory Subsystem Bound	15.1
4	L2 Bound	5.8
4	L2 Miss	9.6
5	L3 Bound	1.8
5	Memory Bound	7.8
3	Core Bound	22.3
4	Serializing Operations	9.1
5	Pause	2.1
5	TPause	0.0
4	L1 Bound	1.8
4	RB Bound	0.0
4	Store Bound	10.3
4	Execution Bound	0.0
4	Allocation Bound	1.1
5	Allocation Restriction	1.1
2	Info Metrics	
3	Stores Bound	0.120074
3	Load Bound	0.171672
1	Average CPU Frequency	7781751131.050285
1	Total Thread Count	82
1	Paused Time	0.0
0	Effective Physical Core Utilization	1.4% (0.345 out of 24)
1	Effective Logical Core Utilization	0.2% (0.059 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	87953645
1	Collection start time	08:06:05 12/06/2026 UTC
1	Collection stop time	08:06:52 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199749
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
