Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	57.643116
1	Clockticks	20481000000
2	Performance-core (P-core)	19500000000
1	Instructions Retired	385632000000
2	Performance-core (P-core)	383931000000
1	CPI Rate	0.053110
2	Performance-core (P-core)	0.050790
1	Performance-core (P-core)	
2	Retiring	32.1
3	Light Operations	31.5
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	13.8
4	Fused Instructions	7.6
4	Non Fused Branches	3.7
4	Other	6.3
5	Nop Instructions	0.3
5	Shuffles_256b	0.0
3	Heavy Operations	0.6
4	Few Uops Instructions	0.6
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	16.7
3	Front-End Latency	6.0
4	ICache Misses	1.7
5	Code L2 Hit	0.7
5	Code L2 Miss	0.9
4	ITLB Misses	0.3
5	Code STLB Hit	0.2
5	Code STLB Miss	0.1
6	Code STLB Miss 4K	0.1
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.9
5	Mispredicts Resteers	0.5
5	Clears Resteers	0.4
5	Unknown Branches	0.0
4	MS Switches	0.3
4	Length Changing Prefixes	0.1
4	DSB Switches	4.1
3	Front-End Bandwidth	10.7
4	Front-End Bandwidth MITE	1.6
5	Decoder-0 Alone	0.3
4	Front-End Bandwidth DSB	11.4
4	Front-End Bandwidth LSD	0.2
4	MS	0.1
4	(Info) DSB Coverage	51.6
4	(Info) LSD Coverage	6.4
4	(Info) DSB Misses	4.7
2	Bad Speculation	11.1
3	Branch Mispredict	5.7
4	Other Mispredicts	0.5
3	Machine Clears	5.4
4	Other Nukes	0.0
2	Back-End Bound	40.0
3	Memory Bound	24.3
4	L1 Bound	9.7
5	DTLB Overhead	24.2
6	Load STLB Hit	21.6
6	Load STLB Miss	2.7
7	Load STLB Miss 4K	2.7
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	25.1
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.4
4	L2 Bound	9.1
5	L2 Hit Latency	100.0
4	L3 Bound	9.6
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	56.8
5	SQ Full	1.6
4	DRAM Bound	2.7
5	Memory Bandwidth	28.6
5	Memory Latency	5.4
4	Store Bound	0.0
5	Store Latency	1.2
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	3.3
6	Store STLB Hit	3.2
6	Store STLB Miss	0.2
7	Store STLB Miss 4K	0.2
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	15.7
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	0.7
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	19.7
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	11.1
5	Cycles of 2 Ports Utilized	13.1
5	Cycles of 3+ Ports Utilized	40.3
6	ALU Operation Utilization	26.7
7	Port 0	36.8
7	Port 1	14.5
7	Port 6	52.2
6	Load Operation Utilization	31.5
6	Store Operation Utilization	5.5
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	37.2
3	Arith Ops	24.2
4	Non Divider	24.2
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	12.9
4	Loads	8.7
4	Stores	4.7
2	Front-End Bound	24.7
3	IFetch Latency	13.2
4	ICache Misses	6.1
4	ITLB Misses	1.5
4	BACLEARS	2.6
4	Branch Resteers	0.1
3	IFetch Bandwidth	11.5
4	Cisc	4.8
4	Decode	8.6
4	Pre-Decode Wrong	0.2
4	Front-End Other	3.0
2	Bad Speculation	11.1
3	Branch Mispredict	18.1
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	27.0
3	Memory Subsystem Bound	15.5
4	L2 Bound	7.8
4	L2 Miss	7.1
5	L3 Bound	3.1
5	Memory Bound	4.0
3	Core Bound	11.5
4	Serializing Operations	5.9
5	Pause	2.1
5	TPause	0.0
4	L1 Bound	1.7
4	RB Bound	0.0
4	Store Bound	2.7
4	Execution Bound	0.0
4	Allocation Bound	1.1
5	Allocation Restriction	1.1
2	Info Metrics	
3	Stores Bound	0.026994
3	Load Bound	0.173244
1	Average CPU Frequency	7879856922.439692
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.2% (0.043 out of 24)
1	Effective Logical Core Utilization	0.1% (0.045 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	75582891
1	Collection start time	08:04:51 12/06/2026 UTC
1	Collection stop time	08:05:49 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199753
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
