Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	52.621276
1	Clockticks	2031000000
2	Performance-core (P-core)	1101000000
1	Instructions Retired	470718000000
2	Performance-core (P-core)	469200000000
1	CPI Rate	0.004315
2	Performance-core (P-core)	0.002347
1	Performance-core (P-core)	
2	Retiring	39.2
3	Light Operations	37.4
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	19.9
4	Fused Instructions	4.2
4	Non Fused Branches	4.6
4	Other	8.8
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	1.8
4	Few Uops Instructions	1.6
4	Microcode Sequencer	0.2
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.2
2	Front-End Bound	11.2
3	Front-End Latency	7.3
4	ICache Misses	1.7
5	Code L2 Hit	1.0
5	Code L2 Miss	0.7
4	ITLB Misses	0.1
5	Code STLB Hit	0.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	3.8
5	Mispredicts Resteers	1.6
5	Clears Resteers	2.2
5	Unknown Branches	0.0
4	MS Switches	0.5
4	Length Changing Prefixes	0.1
4	DSB Switches	5.4
3	Front-End Bandwidth	3.9
4	Front-End Bandwidth MITE	0.6
5	Decoder-0 Alone	0.1
4	Front-End Bandwidth DSB	6.4
4	Front-End Bandwidth LSD	0.0
4	MS	0.2
4	(Info) DSB Coverage	64.7
4	(Info) LSD Coverage	0.6
4	(Info) DSB Misses	3.7
2	Bad Speculation	32.1
3	Branch Mispredict	13.3
4	Other Mispredicts	2.9
3	Machine Clears	18.8
4	Other Nukes	0.0
2	Back-End Bound	17.5
3	Memory Bound	11.2
4	L1 Bound	7.2
5	DTLB Overhead	13.0
6	Load STLB Hit	8.1
6	Load STLB Miss	4.9
7	Load STLB Miss 4K	4.9
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.1
5	L1 Latency Dependency	33.9
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.1
4	L2 Bound	3.8
5	L2 Hit Latency	22.0
4	L3 Bound	3.8
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	12.2
5	SQ Full	0.1
4	DRAM Bound	0.6
5	Memory Bandwidth	16.1
5	Memory Latency	9.3
4	Store Bound	0.1
5	Store Latency	6.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	6.5
6	Store STLB Hit	6.4
6	Store STLB Miss	0.1
7	Store STLB Miss 4K	0.1
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	6.2
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	1.6
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	16.6
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	8.9
5	Cycles of 2 Ports Utilized	9.5
5	Cycles of 3+ Ports Utilized	60.7
6	ALU Operation Utilization	23.6
7	Port 0	28.3
7	Port 1	13.7
7	Port 6	42.9
6	Load Operation Utilization	34.1
6	Store Operation Utilization	24.1
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	39.3
3	Arith Ops	24.8
4	Non Divider	24.8
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	14.5
4	Loads	9.1
4	Stores	5.3
2	Front-End Bound	26.6
3	IFetch Latency	9.5
4	ICache Misses	5.8
4	ITLB Misses	1.8
4	BACLEARS	3.0
4	Branch Resteers	0.5
3	IFetch Bandwidth	17.1
4	Cisc	3.6
4	Decode	7.7
4	Pre-Decode Wrong	0.0
4	Front-End Other	2.4
2	Bad Speculation	4.2
3	Branch Mispredict	24.6
3	Machine Clears	0.0
4	Ucode_Assist	0.7
4	Machine_Restart	0.7
2	Back-End Bound	29.9
3	Memory Subsystem Bound	13.4
4	L2 Bound	6.5
4	L2 Miss	6.6
5	L3 Bound	1.5
5	Memory Bound	5.2
3	Core Bound	16.5
4	Serializing Operations	14.0
5	Pause	2.2
5	TPause	0.0
4	L1 Bound	0.5
4	RB Bound	0.0
4	Store Bound	1.3
4	Execution Bound	0.0
4	Allocation Bound	0.8
5	Allocation Restriction	0.8
2	Info Metrics	
3	Stores Bound	0.026368
3	Load Bound	0.143535
1	Average CPU Frequency	3627460164.765653
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.0% (0.010 out of 24)
1	Effective Logical Core Utilization	0.0% (0.011 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	77130663
1	Collection start time	07:54:07 12/06/2026 UTC
1	Collection stop time	07:54:59 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199752
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
