Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	57.570114
1	Clockticks	29151000000
2	Performance-core (P-core)	28326000000
1	Instructions Retired	274839000000
2	Performance-core (P-core)	273432000000
1	CPI Rate	0.106066
2	Performance-core (P-core)	0.103594
1	Performance-core (P-core)	
2	Retiring	32.4
3	Light Operations	27.0
4	FP Arithmetic	7.5
5	FP x87	7.5
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	10.6
4	Fused Instructions	0.6
4	Non Fused Branches	0.7
4	Other	7.6
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	5.4
4	Few Uops Instructions	5.1
4	Microcode Sequencer	0.2
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.2
2	Front-End Bound	11.5
3	Front-End Latency	1.2
4	ICache Misses	0.2
5	Code L2 Hit	0.0
5	Code L2 Miss	0.2
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.3
5	Mispredicts Resteers	0.1
5	Clears Resteers	0.3
5	Unknown Branches	0.0
4	MS Switches	1.0
4	Length Changing Prefixes	0.0
4	DSB Switches	0.8
3	Front-End Bandwidth	10.3
4	Front-End Bandwidth MITE	1.7
5	Decoder-0 Alone	1.1
4	Front-End Bandwidth DSB	0.9
4	Front-End Bandwidth LSD	2.0
4	MS	0.4
4	(Info) DSB Coverage	30.2
4	(Info) LSD Coverage	21.0
4	(Info) DSB Misses	3.9
2	Bad Speculation	6.7
3	Branch Mispredict	1.1
4	Other Mispredicts	0.7
3	Machine Clears	5.6
4	Other Nukes	5.6
2	Back-End Bound	49.5
3	Memory Bound	15.7
4	L1 Bound	18.5
5	DTLB Overhead	7.0
6	Load STLB Hit	6.8
6	Load STLB Miss	0.3
7	Load STLB Miss 4K	0.3
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	26.5
5	L1 Latency Dependency	21.7
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.4
4	L2 Bound	0.6
5	L2 Hit Latency	17.6
4	L3 Bound	0.3
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.9
5	SQ Full	0.2
4	DRAM Bound	3.1
5	Memory Bandwidth	4.8
5	Memory Latency	7.5
4	Store Bound	1.1
5	Store Latency	2.7
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	3.8
6	Store STLB Hit	3.6
6	Store STLB Miss	0.2
7	Store STLB Miss 4K	0.2
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	33.7
4	Divider	17.5
5	FP Divider	11.0
5	INT Divider	6.4
4	Serializing Operations	2.0
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	31.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	20.7
5	Cycles of 2 Ports Utilized	17.8
5	Cycles of 3+ Ports Utilized	34.1
6	ALU Operation Utilization	21.8
7	Port 0	37.3
7	Port 1	8.6
7	Port 6	19.2
6	Load Operation Utilization	18.7
6	Store Operation Utilization	11.0
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	46.0
3	Arith Ops	29.3
4	Non Divider	29.3
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	16.7
4	Loads	10.6
4	Stores	5.6
2	Front-End Bound	30.3
3	IFetch Latency	14.3
4	ICache Misses	7.0
4	ITLB Misses	0.8
4	BACLEARS	3.7
4	Branch Resteers	0.4
3	IFetch Bandwidth	16.1
4	Cisc	6.1
4	Decode	7.9
4	Pre-Decode Wrong	0.5
4	Front-End Other	3.1
2	Bad Speculation	1.2
3	Branch Mispredict	28.0
3	Machine Clears	0.0
4	Ucode_Assist	0.2
4	Machine_Restart	0.4
2	Back-End Bound	22.5
3	Memory Subsystem Bound	12.9
4	L2 Bound	7.5
4	L2 Miss	5.2
5	L3 Bound	3.1
5	Memory Bound	2.1
3	Core Bound	9.6
4	Serializing Operations	9.6
5	Pause	2.0
5	TPause	0.0
4	L1 Bound	0.0
4	RB Bound	0.0
4	Store Bound	0.0
4	Execution Bound	0.0
4	Allocation Bound	0.0
5	Allocation Restriction	0.0
2	Info Metrics	
3	Stores Bound	0.015540
3	Load Bound	0.139158
1	Average CPU Frequency	6454725218.367265
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.3% (0.076 out of 24)
1	Effective Logical Core Utilization	0.2% (0.078 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	62263549
1	Collection start time	07:55:12 12/06/2026 UTC
1	Collection stop time	07:56:10 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199754
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
