Application,Machine Clears,Ucode_Assist,Execution Bound,Int Divider,Decode,Retiring,Arith Ops,Stores,L2 Bound,Pre-Decode Wrong,TPause,Serializing Operations,Efficient-core (E-core),L1 Bound,IFetch Bandwidth,Loads,Front-End Bound,IFetch Latency,Branch Resteers,Info Metrics,ITLB Misses,Back-End Bound,Allocation Bound,Core Bound,Memory Bound,BACLEARS,Load Bound,Store Bound,Mem Ops,ICache Misses,Bad Speculation,Machine_Restart,Cisc,L3 Bound,Pause,Stores Bound,FP Divide,Branch Mispredict,L2 Miss,RB Bound,Allocation Restriction,Front-End Other,Non Divider,Memory Subsystem Bound
astar,0.0,0.0,0.0,0.0,19.8,15.8,7.4,1.5,1.8,0.0,0.0,0.0,0.0,0.0,25.3,7.1,27.9,2.6,2.0,0.0,0.1,1.9,0.0,0.0,0.1,0.1,0.045716,0.0,8.4,0.3,54.4,0.0,0.4,0.1,0.0,0.00039,0.0,55.3,0.2,0.0,0.0,5.2,7.4,1.9
blender_r,0.0,0.1,7.3,0.0,7.9,35.7,22.9,2.3,6.6,0.0,0.0,1.5,0.0,1.0,10.4,10.7,11.6,1.2,0.5,0.0,0.1,21.3,0.5,10.8,2.2,0.2,0.115656,0.5,12.9,0.5,31.3,0.0,0.8,1.8,0.4,0.004521,0.1,33.9,4.0,0.0,0.5,1.6,22.8,10.6
bwaves,2.0,0.0,12.3,0.1,2.3,42.4,22.8,5.1,9.4,0.1,0.0,7.2,0.0,0.4,6.5,18.9,10.3,3.8,0.8,0.0,0.3,39.1,0.3,26.8,2.3,0.8,0.127871,6.6,19.6,1.4,8.1,0.0,2.9,0.3,2.0,0.065756,0.2,6.1,2.6,0.0,0.3,1.0,22.5,12.4
bzip2,0.0,0.0,8.5,0.0,11.9,31.8,14.6,5.7,5.6,0.0,0.0,1.3,0.0,0.5,13.9,14.1,14.8,0.9,0.5,0.0,0.1,19.5,0.6,13.5,0.2,0.1,0.065145,2.6,17.2,0.1,33.9,0.2,0.4,0.1,0.5,0.026067,0.0,34.4,0.3,0.0,0.6,1.8,14.6,6.0
cactuBSSN_r,0.0,0.0,19.7,0.0,2.2,32.0,16.3,3.4,12.8,0.0,0.0,2.4,0.0,0.3,4.3,13.8,7.3,3.0,0.2,0.0,0.3,57.3,0.2,36.3,6.7,0.9,0.213305,13.6,15.7,1.4,3.5,0.0,1.0,1.2,0.9,0.136162,0.0,4.4,8.0,0.1,0.2,0.7,16.3,21.0
cactusADM,2.1,3.4,22.7,0.0,1.8,22.1,10.5,3.3,1.5,0.0,0.0,31.6,0.0,1.6,9.3,9.3,11.6,2.3,0.6,0.0,0.1,62.0,0.8,59.9,0.3,0.9,0.037033,3.2,11.6,0.6,4.3,0.0,6.8,0.3,19.6,0.032259,0.0,2.2,0.6,0.0,0.8,1.0,10.5,2.1
calculix,0.2,0.1,52.3,0.0,1.0,34.6,19.9,4.8,1.0,0.0,0.0,2.3,0.0,0.2,3.1,11.7,3.9,0.9,0.3,0.0,0.1,56.6,0.4,55.3,0.1,0.3,0.014737,0.1,14.6,0.3,4.9,0.0,1.3,0.1,1.1,0.00069,0.0,4.7,0.3,0.0,0.4,0.5,19.9,1.3
dealII,1.9,0.0,6.6,0.0,8.0,48.6,27.6,6.8,4.2,0.1,0.0,3.3,0.0,0.9,10.9,16.1,15.6,4.8,0.8,0.0,0.6,21.3,1.4,15.2,1.3,1.0,0.070633,2.9,21.0,2.0,14.5,0.0,1.5,0.7,0.9,0.029235,0.0,12.5,2.0,0.0,1.4,2.8,27.6,6.1
deepsjeng_r,0.0,0.0,0.0,0.0,11.4,40.5,26.3,4.8,2.2,0.0,0.0,1.6,0.0,2.1,15.6,9.9,17.2,1.7,0.9,0.0,0.1,12.6,1.4,5.3,4.9,0.2,0.093937,0.2,14.3,0.4,29.6,0.3,1.6,0.3,0.8,0.001908,0.0,31.4,5.1,0.0,1.4,2.4,26.2,7.3
gamess,0.0,0.0,21.1,0.0,2.3,54.6,26.9,6.6,2.1,0.0,0.0,6.5,0.0,0.1,7.2,25.6,8.3,1.1,0.7,0.0,0.1,33.7,0.3,31.4,0.0,0.2,0.02394,3.3,27.7,0.2,3.4,0.0,3.8,0.1,0.7,0.033278,0.0,4.2,0.1,0.0,0.3,1.0,26.8,2.3
gcc,0.0,0.1,7.4,0.0,10.9,54.4,35.9,7.4,7.5,1.0,0.0,11.4,0.0,2.3,26.9,13.9,41.1,14.2,0.7,0.0,0.9,34.1,0.8,22.6,2.5,4.9,0.137831,0.8,18.5,7.1,0.0,0.0,7.6,1.8,2.2,0.007788,0.0,38.3,4.3,0.0,0.8,4.4,35.9,11.5
GemsFDTD,0.0,0.1,14.4,0.0,2.1,42.6,22.1,4.9,10.6,0.0,0.0,4.9,0.0,0.7,4.9,19.5,7.5,2.7,0.4,0.0,0.2,48.7,0.2,21.5,16.1,0.4,0.279283,1.2,20.5,1.1,1.2,0.0,2.2,0.9,0.8,0.01181,0.0,5.0,16.9,0.0,0.2,1.1,22.1,27.2
gobmk,0.0,0.0,2.1,0.0,13.2,31.1,17.3,5.0,2.5,0.2,0.0,1.0,0.0,0.3,19.0,9.8,21.8,2.9,1.1,0.0,0.1,7.9,1.0,4.8,0.1,0.6,0.034744,0.4,13.9,1.0,39.1,0.6,2.8,0.5,0.3,0.003669,0.0,40.2,0.6,0.0,1.0,2.7,17.3,3.1
gromacs,0.0,0.1,45.4,0.0,3.0,32.6,18.0,5.0,3.4,0.1,0.0,2.8,0.0,0.2,6.0,10.4,8.9,2.9,0.2,0.0,0.3,53.2,0.3,49.3,0.2,0.7,0.040397,0.7,14.7,1.3,5.3,0.0,2.7,0.3,0.6,0.007008,0.6,9.5,0.4,0.0,0.3,0.7,17.4,3.8
h264ref,0.0,0.0,8.9,0.1,7.2,54.4,26.3,9.4,3.4,0.0,0.0,2.6,0.0,0.6,15.5,23.3,16.3,0.8,0.1,0.0,0.1,20.5,1.0,16.8,0.1,0.2,0.042754,3.8,28.1,0.3,8.8,0.3,8.1,0.2,1.6,0.038076,0.0,10.8,0.3,0.0,1.0,0.5,26.2,3.7
hmmer,0.0,0.0,2.1,0.0,14.0,32.5,14.9,2.7,1.2,0.0,0.0,1.7,0.0,0.2,17.0,15.8,18.5,1.5,0.7,0.0,0.2,6.4,0.2,4.6,0.2,0.3,0.02025,0.4,17.6,0.5,42.6,0.0,1.3,0.2,0.4,0.003817,0.0,44.6,0.4,0.0,0.2,1.5,14.9,1.8
imagick_r,3.2,3.8,5.0,0.0,1.2,51.5,42.6,0.3,4.7,0.0,0.0,15.7,0.0,0.2,9.6,8.6,11.1,1.5,1.0,0.0,0.1,26.8,1.0,22.0,0.0,0.2,0.049546,0.1,8.9,0.3,10.7,0.0,6.9,0.1,2.6,0.00121,0.0,7.4,0.1,0.0,1.0,1.4,42.6,4.8
lbm,0.0,0.0,6.6,0.0,5.9,33.6,18.7,6.0,7.3,0.3,0.0,6.7,0.0,0.4,9.4,11.3,21.3,11.9,0.1,0.0,1.7,27.7,1.0,16.1,2.1,2.3,0.120693,1.4,14.9,7.5,17.4,0.1,2.8,2.0,1.5,0.014151,0.0,18.2,4.1,0.0,1.0,2.9,18.7,11.6
lbm_r,14.3,0.0,10.1,0.0,3.6,30.7,17.8,5.0,8.5,0.2,0.0,4.3,0.0,1.0,5.5,9.1,12.5,7.0,0.2,0.0,0.8,30.1,0.7,18.5,2.1,1.4,0.1264,2.4,12.8,4.1,26.8,0.4,1.7,0.6,1.1,0.024098,0.1,12.5,2.7,0.0,0.7,1.9,17.8,11.6
leela_r,0.0,0.0,1.1,0.2,15.1,32.0,21.7,3.0,2.8,0.0,0.0,1.0,0.0,0.6,19.7,7.7,22.1,2.4,1.5,0.0,0.1,8.9,2.4,5.7,0.2,0.4,0.037794,0.7,10.4,0.3,37.0,0.1,0.9,0.2,0.4,0.006844,0.0,40.3,0.3,0.0,2.4,3.7,21.4,3.2
leslie3d,0.0,0.0,16.9,0.0,1.5,47.7,22.9,6.4,8.8,0.0,0.0,2.9,0.0,0.6,3.6,22.4,5.8,2.2,0.0,0.0,0.2,40.1,0.2,29.3,1.6,0.5,0.11475,8.7,24.8,1.3,6.4,0.0,0.8,0.4,0.8,0.086639,0.5,8.2,2.0,0.0,0.2,0.7,22.4,10.8
