Application,Retiring,Light Operations,FP Arithmetic,FP x87,FP Scalar,FP Vector,128-bit FP Vector,256-bit FP Vector,Integer Operations,128-bit Integer Vector Operations,256-bit Vector Operations,Memory Operations,Fused Instructions,Non Fused Branches,Other,Nop Instructions,Shuffles_256b,Heavy Operations,Few Uops Instructions,Microcode Sequencer,Assists,Page Faults,FP Assists,AVX Assists,CISC,Front-End Bound,Front-End Latency,ICache Misses,Code L2 Hit,Code L2 Miss,ITLB Misses,Code STLB Hit,Code STLB Miss,Code STLB Miss 4K,Code STLB Miss 2M,Branch Resteers,Mispredicts Resteers,Clears Resteers,Unknown Branches,MS Switches,Length Changing Prefixes,DSB Switches,Front-End Bandwidth,Front-End Bandwidth MITE,Decoder-0 Alone,Front-End Bandwidth DSB,Front-End Bandwidth LSD,MS,(Info) DSB Coverage,(Info) LSD Coverage,(Info) DSB Misses,Bad Speculation,Branch Mispredict,Other Mispredicts,Machine Clears,Other Nukes,Back-End Bound,Memory Bound,L1 Bound,DTLB Overhead,Load STLB Hit,Load STLB Miss,Load STLB Miss 4K,Load STLB Miss 2M,Load STLB Miss 1G,Loads Blocked by Store Forwarding,L1 Latency Dependency,Lock Latency,Split Loads,FB Full,L2 Bound,L2 Hit Latency,L3 Bound,Contested Accesses,Data Sharing,L3 Latency,SQ Full,DRAM Bound,Memory Bandwidth,Memory Latency,Store Bound,Store Latency,False Sharing,Split Stores,Streaming Stores,DTLB Store Overhead,Store STLB Hit,Store STLB Miss,Store STLB Miss 4K,Store STLB Miss 2M,Store STLB Miss 1G,Core Bound,Divider,FP Divider,INT Divider,Serializing Operations,Slow Pause,C01 Wait,C02 Wait,Memory Fence,Port Utilization,Cycles of 0 Ports Utilized,Mixing Vectors,Cycles of 1 Port Utilized,Cycles of 2 Ports Utilized,Cycles of 3+ Ports Utilized,ALU Operation Utilization,Port 0,Port 1,Port 6,Load Operation Utilization,Store Operation Utilization,Vector Capacity Usage (FPU),Efficient-core (E-core)
astar,11.8,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.3,0.7,2.2,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,27.3,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,5.6,1.2,0.0,0.2,0.0,3.9,11.2,0.6,0.1,11.2,0.0,0.1,61.4,0.1,6.2,53.4,44.0,1.3,9.4,9.4,7.5,0.3,9.4,4.4,4.2,0.2,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.1,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,13.9,0.1,0.0,10.8,12.8,36.5,12.2,9.4,6.5,25.6,33.2,10.2,0.0,0.0
blender_r,34.4,33.6,18.5,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2.4,4.2,0.0,0.2,0.0,0.8,0.7,0.1,0.0,0.0,0.0,0.0,0.1,8.6,4.6,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,3.0,2.9,0.1,0.0,0.9,0.0,1.2,4.0,0.6,0.1,10.0,0.0,0.3,64.6,1.3,1.3,38.9,37.4,4.4,1.4,1.4,18.1,5.9,5.9,14.5,13.0,1.4,1.4,0.0,0.0,0.0,26.2,0.0,0.0,0.3,1.0,100.0,2.8,0.0,0.0,55.8,0.1,1.8,5.5,3.7,0.2,0.4,0.0,0.0,0.0,0.6,0.5,0.1,0.1,0.0,0.0,12.2,3.6,2.1,1.5,0.6,0.0,0.0,0.0,0.0,17.9,0.1,0.0,8.7,13.9,54.3,32.5,36.6,27.5,45.0,38.4,10.0,6.6,0.0
bwaves,59.3,49.7,9.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,0.4,1.1,11.3,0.1,0.0,9.6,8.8,0.8,0.0,0.0,0.0,0.0,0.8,16.9,4.5,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.4,0.0,4.0,0.0,0.4,12.4,0.4,0.1,2.5,0.3,1.1,51.4,3.9,1.6,7.6,2.0,1.9,5.6,5.6,16.1,3.4,3.9,0.5,0.4,0.1,0.0,0.0,0.0,1.6,65.1,0.0,0.0,0.2,0.1,27.1,0.4,0.0,0.0,0.3,1.2,1.1,25.6,9.8,0.5,2.3,0.0,0.0,0.0,0.6,0.4,0.2,0.2,0.0,0.0,12.8,11.6,6.9,4.6,3.0,0.0,0.0,0.0,0.0,17.1,0.1,0.0,7.8,6.9,73.7,34.6,41.5,29.1,35.0,58.7,20.1,6.2,0.0
bzip2,29.5,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,2.3,1.4,6.4,0.0,0.0,3.3,3.2,0.1,0.0,0.0,0.0,0.0,0.1,12.7,6.8,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4.0,3.4,0.5,0.1,0.5,0.0,1.3,6.0,0.3,0.0,7.5,0.0,0.2,55.7,6.6,1.7,39.5,34.3,1.4,5.2,0.9,18.3,5.8,8.0,4.9,4.7,0.2,0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.2,0.8,13.6,1.2,0.0,0.0,1.0,0.1,0.1,0.9,3.6,2.5,2.3,0.0,0.0,0.0,5.1,5.0,0.1,0.1,0.0,0.0,12.5,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,13.6,0.2,0.0,7.5,9.3,55.1,19.6,18.8,13.5,34.9,44.0,25.4,0.0,0.0
cactuBSSN_r,41.2,37.7,55.3,0.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.6,0.7,0.0,0.1,0.0,3.5,3.4,0.1,0.0,0.0,0.0,0.0,0.1,9.7,5.1,1.4,0.9,0.5,0.3,0.3,0.0,0.0,0.0,2.4,2.0,0.4,0.0,0.5,0.0,0.8,4.6,7.3,0.0,2.3,0.0,0.2,26.3,2.0,4.2,1.7,1.4,0.0,0.3,0.3,47.4,18.3,2.7,35.1,34.4,0.8,0.8,0.0,0.0,0.0,35.1,0.0,0.0,3.2,5.4,29.0,0.8,0.0,0.0,0.2,2.8,1.4,10.3,11.9,8.2,11.5,0.0,0.0,0.3,11.5,11.2,0.3,0.3,0.0,0.0,29.1,0.9,0.6,0.4,1.0,0.0,0.0,0.0,0.0,19.8,0.2,0.0,9.9,10.7,62.8,26.9,44.1,46.8,9.1,43.3,14.9,12.5,0.0
cactusADM,17.7,13.7,4.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.1,0.2,0.9,0.0,0.0,3.9,1.5,2.5,0.0,0.0,0.0,0.0,2.5,27.2,17.4,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,3.7,1.2,2.5,0.0,17.3,0.0,0.3,9.9,3.1,1.0,1.0,0.0,4.9,37.9,0.8,3.6,18.3,5.9,5.9,12.4,12.4,36.8,2.1,2.8,7.1,7.0,0.1,0.0,0.0,0.0,1.4,19.8,0.0,0.0,0.0,0.1,1.6,0.4,0.0,0.0,0.0,0.0,0.1,2.5,3.4,0.7,0.7,0.0,0.0,0.0,1.3,1.2,0.1,0.1,0.0,0.0,34.8,0.3,0.2,0.1,19.1,0.0,0.0,0.0,0.0,16.7,3.5,0.0,10.0,11.5,26.5,14.4,25.1,5.0,10.7,19.9,9.4,6.2,0.0
calculix,37.0,34.2,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.9,1.8,8.2,0.0,0.0,2.8,2.6,0.2,0.0,0.0,0.0,0.0,0.2,10.9,2.7,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.7,1.0,0.0,1.1,0.0,2.0,8.1,0.2,0.0,3.7,0.3,0.3,57.2,2.0,1.4,15.8,6.4,2.2,9.4,9.4,36.4,5.2,10.6,2.6,2.1,0.5,0.0,0.0,0.0,0.3,30.1,0.0,0.0,0.0,0.8,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.1,0.2,0.0,0.0,0.0,2.7,2.7,0.0,0.0,0.0,0.0,31.2,0.2,0.1,0.1,1.3,0.0,0.0,0.0,0.0,30.3,0.0,0.0,20.4,14.9,49.7,25.7,46.9,13.3,27.3,26.9,17.0,6.2,0.0
dealII,48.2,44.8,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,2.2,3.3,13.2,0.0,0.0,3.4,3.2,0.2,0.0,0.0,0.0,0.0,0.2,15.6,7.9,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.2,1.3,0.0,0.9,0.0,2.9,7.8,0.8,0.1,5.6,0.6,0.3,48.8,8.1,4.1,23.4,11.2,1.0,12.2,1.5,12.7,2.1,8.5,3.8,3.2,0.6,0.6,0.0,0.0,8.0,43.6,0.0,0.0,0.2,1.0,9.4,0.3,0.0,0.0,0.7,0.1,0.4,3.3,1.7,0.5,0.4,0.0,0.0,0.0,3.0,2.9,0.1,0.0,0.0,0.0,10.6,0.7,0.3,0.5,1.0,0.0,0.0,0.0,0.0,20.4,0.1,0.0,9.4,10.7,63.9,24.5,26.4,17.5,38.6,40.5,24.5,6.2,0.0
deepsjeng_r,32.5,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2.9,2.1,13.6,0.2,0.0,1.7,1.1,0.6,0.0,0.0,0.0,0.0,0.6,27.4,14.7,0.9,0.5,0.4,0.1,0.1,0.0,0.0,0.0,6.3,4.4,1.9,0.0,1.7,0.0,13.9,12.6,6.0,1.2,6.1,0.0,0.6,44.4,0.8,15.0,28.3,19.8,1.7,8.6,1.7,11.8,6.8,6.7,4.0,0.9,3.1,3.1,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.4,3.9,1.5,0.0,0.0,0.2,0.0,6.1,5.8,3.8,0.1,0.4,0.0,0.0,0.0,2.0,2.0,0.1,0.1,0.0,0.0,5.0,0.7,0.0,0.7,0.5,0.0,0.0,0.0,0.0,20.1,0.3,0.0,11.4,13.0,45.9,25.0,24.0,19.7,39.7,22.7,15.9,0.0,0.0
gamess,63.2,55.5,8.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,1.9,1.4,11.8,0.0,0.0,7.6,7.0,0.7,0.0,0.0,0.0,0.0,0.7,13.8,2.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.6,0.0,2.6,0.0,2.5,11.8,1.9,0.4,3.5,0.1,0.8,51.0,0.8,4.3,10.1,3.2,1.2,6.8,0.0,13.0,1.1,2.5,24.8,24.7,0.1,0.0,0.0,0.0,0.6,70.9,0.0,0.0,0.0,0.1,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.4,0.0,0.0,0.0,34.6,34.6,0.0,0.0,0.0,0.0,11.9,2.6,1.6,1.0,0.7,0.0,0.0,0.0,0.0,18.6,0.0,0.0,4.9,8.3,79.8,32.8,47.5,24.8,35.1,61.3,23.3,6.2,0.0
